method,dataset,rmse_h_deg,rmse_v_deg,mae_h_deg,mae_v_deg,fixation_mae_h_deg,fixation_mae_v_deg,f1_weighted,notes
Baseline: majority class,Dataset 2 only,,,,,,,0.33355674110035816,Always predicts the train fold's most frequent class
Baseline: train-fold mean angle,Dataset 2 only,14.07368641443997,7.996504258285817,12.104333877563477,6.850247383117676,12.55765272226276,7.053181654271482,,Always predicts the train fold's mean H/V angle
Classical ML (SVC) — classification,Dataset 2 only,,,,,,,0.5115922707622065,
Classical ML (RF) — classification,Dataset 2 only,,,,,,,0.5122230966675904,
Classical ML (SVR) — regression,Dataset 2 only,9.764197874508673,6.38257240439756,7.6194856501895885,5.174956860991092,5.611794241074806,4.228676019389614,,trained on fixation windows only
Classical ML (XGB) — regression,Dataset 2 only,7.879578969715973,5.960629676480222,5.898421764373779,4.666598320007324,4.791164558612669,4.062872165507304,,trained on fixation windows only
Deep multi-task,—,,,,,,,,Run Phase 7 to generate deep_model_<type>.json
Published: Barbara_2023_DKF_short,Dataset 2,,,,,1.64,1.97,,BSPC 86 (2023) Table 2: ±0.82 / ±0.34; within-subject; mistake-free segments; 6.85% outliers excluded
Published: Barbara_2023_DKF_long,Dataset 2,,,,,5.23,6.59,,BSPC 86 (2023) Table 3: ±2.00 / ±3.10; within-subject; 5.83% outlier segments excluded
Published: Barbara_2019_differencing_short,Dataset 2,,,,,1.51,1.95,,BSPC 86 (2023) Table 2 state of the art: ±0.55 / ±0.29; same protocol as DKF short
Published: Barbara_2019_differencing_long,Dataset 2,,,,,5.82,8.04,,BSPC 86 (2023) Table 3 state of the art: ±2.70 / ±2.96; same protocol as DKF long
